checked_at,league,upcoming,unconfirmed,file_last_date,file_age_hours,error,unknown_teams
2026-09-15T05:40:54+00:00,D1,1,0,2027-05-22,5.6,,
2026-09-15T05:40:54+00:00,I1,1,0,2027-05-29,5.6,,
2026-09-15T05:40:54+00:00,F1,1,0,2027-05-28,7.6,,
2026-09-15T14:05:48+00:00,E0,1,0,2027-05-30,39.0,,
2026-09-15T14:05:48+00:00,SP1,10,0,2027-05-30,2.4,,
2026-09-15T14:05:48+00:00,D1,1,0,2027-05-22,5.2,,
2026-09-15T14:05:48+00:00,I1,1,0,2027-05-29,2.4,,
2026-09-15T14:05:48+00:00,F1,1,0,2027-05-28,5.1,,
2026-09-15T19:57:26+00:00,E0,1,0,2027-05-30,44.8,,
2026-09-15T19:57:26+00:00,SP1,10,0,2027-05-30,1.4,,
2026-09-15T19:57:26+00:00,D1,1,0,2027-05-22,1.3,,
2026-09-15T19:57:26+00:00,I1,1,0,2027-05-29,1.3,,
2026-09-15T19:57:26+00:00,F1,1,0,2027-05-28,3.9,,
2026-09-15T23:22:08+00:00,E0,1,0,2027-05-30,48.2,,
2026-09-15T23:22:08+00:00,SP1,10,0,2027-05-30,4.8,,
2026-09-15T23:22:08+00:00,D1,1,0,2027-05-22,4.7,,
2026-09-15T23:22:08+00:00,I1,1,0,2027-05-29,1.4,,
2026-09-15T23:22:08+00:00,F1,1,0,2027-05-28,7.3,,
2026-09-16T05:34:16+00:00,E0,6,0,2027-05-30,54.4,,
2026-09-16T05:34:16+00:00,SP1,11,0,2027-05-30,2.6,,
2026-09-16T05:34:16+00:00,D1,6,0,2027-05-22,6.1,,
2026-09-16T05:34:16+00:00,I1,5,0,2027-05-29,6.2,,
2026-09-16T05:34:16+00:00,F1,6,0,2027-05-28,6.2,,
2026-09-16T13:58:21+00:00,E0,6,0,2027-05-30,62.8,,
2026-09-16T13:58:21+00:00,SP1,11,0,2027-05-30,1.1,,
2026-09-16T13:58:21+00:00,D1,6,0,2027-05-22,4.7,,
2026-09-16T13:58:21+00:00,I1,5,0,2027-05-29,0.7,,
2026-09-16T13:58:21+00:00,F1,6,0,2027-05-28,1.1,,
2026-09-16T19:50:08+00:00,E0,6,0,2027-05-30,68.7,,
2026-09-16T19:50:08+00:00,SP1,11,0,2027-05-30,2.4,,
2026-09-16T19:50:08+00:00,D1,6,0,2027-05-22,4.7,,
2026-09-16T19:50:08+00:00,I1,5,0,2027-05-29,2.9,,
2026-09-16T19:50:08+00:00,F1,6,0,2027-05-28,4.7,,
2026-09-16T23:29:04+00:00,E0,6,0,2027-05-30,72.3,,
2026-09-16T23:29:04+00:00,SP1,11,0,2027-05-30,0.5,,
2026-09-16T23:29:04+00:00,D1,6,0,2027-05-22,0.6,,
2026-09-16T23:29:04+00:00,I1,5,0,2027-05-29,2.0,,
2026-09-16T23:29:04+00:00,F1,6,0,2027-05-28,2.4,,
2026-09-17T19:58:57+00:00,E0,10,0,2027-05-30,92.8,,
2026-09-17T19:58:57+00:00,SP1,12,0,2027-05-30,0.2,,
2026-09-17T19:58:57+00:00,D1,9,0,2027-05-22,0.2,,
2026-09-17T19:58:57+00:00,I1,10,0,2027-05-29,0.2,,
2026-09-17T19:58:57+00:00,F1,9,0,2027-05-28,3.0,,
2026-09-17T23:19:26+00:00,E0,10,0,2027-05-30,96.2,,
2026-09-17T23:19:26+00:00,SP1,12,0,2027-05-30,3.6,,
2026-09-17T23:19:26+00:00,D1,9,0,2027-05-22,3.6,,
2026-09-17T23:19:26+00:00,I1,10,0,2027-05-29,3.5,,
2026-09-17T23:19:26+00:00,F1,9,0,2027-05-28,6.3,,
